DATE,rate
1996/2/1,8.3277102
1996/3/1,8.4214536
1996/4/1,8.5766546
1996/5/1,8.4154702
1996/6/1,8.2568266
1996/7/1,8.568409
1996/8/1,8.7226746
1996/9/1,8.5766095
1996/10/1,8.760438
1996/11/1,8.470781
1996/12/1,8.6314877
1997/1/1,8.5674351
1997/2/1,8.7036643
1997/3/1,8.592807
1997/4/1,8.5664057
1997/5/1,8.5487588
1997/6/1,8.332915
1997/7/1,8.5898613
1997/8/1,8.4660508
1997/9/1,8.0685017
1997/10/1,8.0338449
1997/11/1,7.9871012
1997/12/1,7.9111546
1998/1/1,7.8660496
1998/2/1,7.7733424
1998/3/1,7.8839089
1998/4/1,7.6025543
1998/5/1,7.7658501
1998/6/1,7.8336033
1998/7/1,7.9751434
1998/8/1,7.7563975
1998/9/1,7.6343388
1998/10/1,7.3142841
1998/11/1,7.62815
1998/12/1,7.1842148
1999/1/1,7.1198211
1999/2/1,7.1158677
1999/3/1,7.0133547
1999/4/1,6.9790281
1999/5/1,7.026086
1999/6/1,6.6543508
1999/7/1,6.6760519
1999/8/1,6.9071306
1999/9/1,7.0425147
1999/10/1,6.7771576
1999/11/1,6.4401762
1999/12/1,6.6852006
2000/1/1,6.7689725
2000/2/1,6.6199434
2000/3/1,6.5657819
2000/4/1,6.3767691
2000/5/1,6.4151628
2000/6/1,6.1160512
2000/7/1,5.9549248
2000/8/1,6.0523508
2000/9/1,5.9640696
2000/10/1,6.0104247
2000/11/1,6.2618417
2000/12/1,6.2446611
2001/1/1,6.141033
2001/2/1,6.5025139
2001/3/1,6.4594602
2001/4/1,6.7831718
2001/5/1,6.8939187
2001/6/1,6.9339843
2001/7/1,6.8809624
2001/8/1,6.8819937
2001/9/1,6.8428794
2001/10/1,7.1943954
2001/11/1,6.8848063
2001/12/1,6.8622073
2002/1/1,6.9145757
2002/2/1,6.5372204
2002/3/1,6.4312967
2002/4/1,6.3465603
2002/5/1,6.3735483
2002/6/1,6.4967129
2002/7/1,6.180488
2002/8/1,6.3505838
2002/9/1,6.3133929
2002/10/1,6.1290972
2002/11/1,6.1623913
2002/12/1,6.1830892
2003/1/1,6.0821923
2003/2/1,5.9558634
2003/3/1,6.1319703
2003/4/1,6.0308081
2003/5/1,6.069918
2003/6/1,6.0556192
2003/7/1,6.1287655
2003/8/1,5.8187957
2003/9/1,5.7763928
2003/10/1,5.7840342
2003/11/1,5.6611574
2003/12/1,5.6821382
2004/1/1,5.5318612
2004/2/1,5.6440529
2004/3/1,5.4382856
2004/4/1,5.5084791
2004/5/1,5.3373773
2004/6/1,5.4640963
2004/7/1,5.5511939
2004/8/1,5.5185282
2004/9/1,5.3717986
2004/10/1,5.1235757
2004/11/1,5.1623323
2004/12/1,5.0695305
2005/1/1,5.0746218
2005/2/1,5.0854304
2005/3/1,5.1637562
2005/4/1,5.1233582
2005/5/1,5.1001127
2005/6/1,4.9507963
2005/7/1,4.9727566
2005/8/1,4.9024178
2005/9/1,5.0031741
2005/10/1,5.0163596
2005/11/1,4.9375538
2005/12/1,5.0711156
2006/1/1,5.1638607
2006/2/1,5.1051959
2006/3/1,4.8681603
2006/4/1,4.9672947
2006/5/1,4.7986977
2006/6/1,4.808897
2006/7/1,4.6574344
2006/8/1,4.7131675
2006/9/1,4.6670522
2006/10/1,4.4638843
2006/11/1,4.5158848
2006/12/1,4.5690968
2007/1/1,4.555173
2007/2/1,4.6362006
2007/3/1,4.4607387
2007/4/1,4.3873663
2007/5/1,4.26491
2007/6/1,4.3247465
2007/7/1,4.2540529
2007/8/1,4.3002294
2007/9/1,4.2139707
2007/10/1,4.327138
2007/11/1,4.4275212
2007/12/1,4.3095662
2008/1/1,4.2211684
2008/2/1,3.9811606
